"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 08 00:32:50 GMT 2021","Tue Jun 08 00:34:59 GMT 2021","128911","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Tue Jun 08 00:21:29 GMT 2021","Tue Jun 08 00:23:37 GMT 2021","128904","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Tue Jun 08 00:30:41 GMT 2021","Tue Jun 08 00:32:50 GMT 2021","129062","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"broken","Tue Jun 08 00:19:18 GMT 2021","Tue Jun 08 00:21:29 GMT 2021","130390","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"broken","Tue Jun 08 00:34:59 GMT 2021","Tue Jun 08 00:37:08 GMT 2021","129079","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"broken","Tue Jun 08 00:37:08 GMT 2021","Tue Jun 08 00:39:17 GMT 2021","129000","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:41"
"broken","Tue Jun 08 00:30:40 GMT 2021","Tue Jun 08 00:30:40 GMT 2021","1","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"broken","Tue Jun 08 00:23:37 GMT 2021","Tue Jun 08 00:25:47 GMT 2021","129047","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"broken","Tue Jun 08 00:30:40 GMT 2021","Tue Jun 08 00:30:40 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"broken","Tue Jun 08 00:27:55 GMT 2021","Tue Jun 08 00:30:04 GMT 2021","129034","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"skipped","Tue Jun 08 00:30:04 GMT 2021","Tue Jun 08 00:30:04 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Tue Jun 08 00:30:40 GMT 2021","Tue Jun 08 00:30:40 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Tue Jun 08 00:30:40 GMT 2021","Tue Jun 08 00:30:40 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"broken","Tue Jun 08 00:41:26 GMT 2021","Tue Jun 08 00:43:35 GMT 2021","129026","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
"broken","Tue Jun 08 00:25:47 GMT 2021","Tue Jun 08 00:27:55 GMT 2021","128779","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"broken","Tue Jun 08 00:39:17 GMT 2021","Tue Jun 08 00:41:26 GMT 2021","128958","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
