"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 15 00:27:40 GMT 2021","Tue Jun 15 00:29:49 GMT 2021","128612","","011: Storage Tab","","011_storage_serv_config_tab_spec","","Returns success after resubmitting MinIO storage edit","Location - spec/admin_form/011_storage_serv_config_tab_spec.rb:39"
"broken","Tue Jun 15 00:19:06 GMT 2021","Tue Jun 15 00:19:06 GMT 2021","1","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays value text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:44"
"broken","Tue Jun 15 00:19:06 GMT 2021","Tue Jun 15 00:19:06 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:52"
"broken","Tue Jun 15 00:19:06 GMT 2021","Tue Jun 15 00:19:06 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays submit button in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:48"
"broken","Tue Jun 15 00:25:32 GMT 2021","Tue Jun 15 00:27:40 GMT 2021","128542","","010: CDN Tab","","010_cdn_tab_spec","","Returns success message after resubmitting https://cdn/","Location - spec/admin_form/010_cdn_tab_spec.rb:41"
"broken","Tue Jun 15 00:07:46 GMT 2021","Tue Jun 15 00:09:56 GMT 2021","130244","","001: Libraries Tab","","001_libraries_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/001_libraries_tab_spec.rb:40"
"broken","Tue Jun 15 00:23:23 GMT 2021","Tue Jun 15 00:25:32 GMT 2021","128585","","009: Analytics Tab","","009_analytics_tab_spec","","Returns success message after resubmitting Local Analytics","Location - spec/admin_form/009_analytics_tab_spec.rb:38"
"broken","Tue Jun 15 00:09:56 GMT 2021","Tue Jun 15 00:12:04 GMT 2021","128399","","002: Admins Tab","","002_admins_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/002_admins_tab_spec.rb:40"
"broken","Tue Jun 15 00:12:04 GMT 2021","Tue Jun 15 00:14:13 GMT 2021","128689","","003: Collections Tab","","003_collections_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/003_collections_tab_spec.rb:41"
"broken","Tue Jun 15 00:19:06 GMT 2021","Tue Jun 15 00:21:15 GMT 2021","128608","","007: Logging Tab","","007_logging_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/007_logging_tab_spec.rb:41"
"broken","Tue Jun 15 00:16:21 GMT 2021","Tue Jun 15 00:18:30 GMT 2021","128491","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Exists after clicking tab","Location - spec/admin_form/005_admin_auth_tab_spec.rb:38"
"broken","Tue Jun 15 00:19:06 GMT 2021","Tue Jun 15 00:19:06 GMT 2021","0","","006: Sitewide Settings Tab","","006_sitewide_settings_tab_spec","","Displays key text field in form","Location - spec/admin_form/006_sitewide_settings_tab_spec.rb:40"
"skipped","Tue Jun 15 00:18:30 GMT 2021","Tue Jun 15 00:18:30 GMT 2021","0","","005: Admin Authentication Tab","","005_admin_auth_tab_spec","","Returns success message with valid form fill (MANUAL)","Location - spec/admin_form/005_admin_auth_tab_spec.rb:48"
"broken","Tue Jun 15 00:21:15 GMT 2021","Tue Jun 15 00:23:23 GMT 2021","128519","","008: Metadata Tab","","008_metadata_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/008_metadata_tab_spec.rb:42"
"broken","Tue Jun 15 00:14:13 GMT 2021","Tue Jun 15 00:16:21 GMT 2021","128490","","004: Patron Authentication Tab","","004_patron_auth_tab_spec","","Returns success message with valid form fill","Location - spec/admin_form/004_patron_auth_tab_spec.rb:41"
"broken","Tue Jun 15 00:29:49 GMT 2021","Tue Jun 15 00:31:58 GMT 2021","128607","","012: External Catalogs Tab","","012_external_catalog_tab_spec","","Returns success message after resubmitting MARC Export catalog","Location - spec/admin_form/012_external_catalog_tab_spec.rb:38"
